_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
111,Charlottetown Jr P.S.,260,95.0,4.6,95.0,4.6,43.78207023,-79.14220896
112,Chartland Jr P.S.,117,98.3,0.9,95.7,0.9,43.79961824,-79.2779223
113,Cherokee P.S.,112,93.8,3.6,94.6,3.6,43.79876275,-79.33861474
114,Chester Elementary School,277,96.8,1.8,96.8,1.8,43.68760238,-79.35170998
115,Chester Le Jr P.S.,87,87.4,5.7,88.5,5.7,43.79858771,-79.33109534
116,Chief Dan George P.S.,231,94.4,0.9,96.5,0.9,43.80272231,-79.16383466
117,Chine Drive P.S.,106,93.4,4.7,92.5,4.7,43.70998259,-79.24179689
118,Church Street Jr P.S.,188,90.4,1.1,90.4,1.1,43.66360843,-79.37917817
119,Churchill Heights P.S.,306,97.1,1.0,98.0,1.0,43.77298911,-79.22439265
120,Churchill P.S.,234,96.2,2.1,94.9,2.1,43.7707536,-79.42703616
121,City School,81,79.0,11.1,87.7,11.1,43.63574882,-79.39718759
122,City View Alternative Sr,54,77.8,20.4,79.6,20.4,43.64852424,-79.43672217
123,Claireville Jr School,144,97.2,1.4,94.4,1.4,43.7478422,-79.59822775
124,Clairlea P.S.,415,92.5,2.9,95.2,2.9,43.71658998,-79.29618668
125,Claude Watson School for The Arts,300,94.3,3.0,96.7,3.0,43.7653996,-79.40921782
126,Cliffside P.S.,142,97.2,1.4,95.8,1.4,43.70488211,-79.25053604
127,Cliffwood P.S.,198,97.0,1.0,96.5,1.0,43.80629209,-79.3600686
128,Clinton Street Jr P.S.,273,95.6,2.9,96.0,2.6,43.65764607,-79.41405757
129,College Francais elementaire,118,70.3,3.4,79.7,3.4,43.66248824,-79.37790696
130,College Francais Secondaire,154,77.9,4.5,87.0,4.5,43.66248824,-79.37790696
131,Contact Alternative School,35,68.6,5.7,94.3,5.7,43.65376573,-79.3903939
132,Cordella Jr P.S.,77,94.8,2.6,93.5,2.6,43.67907009,-79.48758544
133,Cornell Jr P.S.,464,96.3,0.2,95.9,0.2,43.75939258,-79.21803822
134,Corvette Jr P.S.,349,94.6,0.9,95.4,0.9,43.72648511,-79.26215973
135,Cosburn Middle School,641,91.6,1.9,96.7,1.9,43.69375152,-79.33092844
136,Cottingham Jr P.S.,100,96.0,3.0,96.0,3.0,43.68037944,-79.39560901
137,Courcelette P.S.,215,91.2,6.5,93.0,6.5,43.67931883,-79.27856592
138,Crescent Town Elementary,258,93.4,1.2,95.0,1.2,43.69683675,-79.29246651
139,Cresthaven P.S.,167,95.2,3.6,95.2,3.6,43.79756474,-79.36435747
140,Crestview P.S.,177,98.3,0.0,96.6,0.0,43.78843218,-79.35984659999998
141,Cummer Valley Middle School,418,97.4,0.2,94.5,0.2,43.78876462,-79.40095036
142,D A Morrison Middle School,426,92.5,2.1,95.1,2.3,43.69539646,-79.31169244
143,Da Vinci School,47,57.4,36.2,59.6,36.2,43.65895304,-79.40190985
144,Dallington P.S.,273,96.3,1.8,97.1,1.8,43.77712813,-79.35475535
145,Danforth C. I. and Technical School,945,86.8,2.2,96.4,2.2,43.68283873,-79.33408956
146,Danforth Gardens P.S.,356,93.3,0.8,92.1,0.8,43.70845556,-79.27097739
147,Dante Alighieri Academy,785,82.2,0.6,92.6,0.6,43.71007742,-79.45836983
148,D'Arcy McGee C.S.,217,94.5,0.0,95.4,0.0,43.69225563,-79.44291158
